StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInSemester
0001, 1, 1, 9
0002, 1, 1, 10
0003, 1, 1, 11
0004, 1, 1, 11
0005, 1, 1, 10
0006, 1, 1, 11
0007, 1, 1, 9
0008, 1, 1, 8
0009, 1, 1, 11
0010, 1, 1, 11
0011, 1, 1, 9
0012, 1, 1, 11
0013, 1, 1, 10
0014, 1, 1, 10
0015, 1, 1, 9
0016, 1, 1, 9
0017, 1, 1, 12
0018, 1, 1, 8
0019, 1, 1, 12
0020, 1, 1, 11
0021, 1, 1, 10
0022, 1, 1, 11
0023, 1, 1, 11
0024, 1, 1, 9
0025, 1, 1, 11
0026, 1, 1, 9
0027, 1, 1, 9
0028, 1, 1, 12
0029, 1, 1, 9
0030, 1, 1, 10
0031, 1, 1, 9
0032, 1, 1, 9
0033, 1, 1, 11
0034, 1, 1, 11
0035, 1, 1, 11
0036, 1, 1, 10
0037, 1, 1, 10
0038, 1, 1, 10
0039, 1, 1, 10
0040, 1, 1, 9
0041, 1, 1, 9
0042, 1, 1, 9
0043, 1, 1, 10
0044, 1, 1, 12
0045, 1, 1, 9
0046, 1, 1, 9
0047, 1, 1, 10
0048, 1, 1, 11
0049, 1, 1, 9
0050, 1, 1, 9
0051, 1, 1, 11
0052, 1, 1, 9
0053, 1, 1, 12
0054, 1, 1, 9
0055, 1, 1, 9
0056, 1, 1, 9
0057, 1, 1, 10
0058, 1, 1, 10
0059, 1, 1, 10
0060, 1, 1, 10
0061, 1, 1, 9
0062, 1, 1, 9
0063, 1, 1, 11
0064, 1, 1, 12
0065, 1, 1, 9
0066, 1, 1, 8
0067, 1, 1, 9
0068, 1, 1, 11
0069, 1, 1, 9
0070, 1, 1, 10
0071, 1, 1, 10
0072, 1, 1, 9
0073, 1, 1, 10
0074, 1, 1, 10
0075, 1, 1, 12
0076, 1, 1, 10
0077, 1, 1, 11
0078, 1, 1, 9
0079, 1, 1, 10
0080, 1, 1, 10
0081, 1, 1, 11
0082, 1, 1, 10
0083, 1, 1, 10
0084, 1, 1, 10
0085, 1, 1, 10
0086, 1, 1, 12
0087, 1, 1, 9
0088, 1, 1, 9
0089, 1, 1, 9
0090, 1, 1, 10
0091, 1, 1, 10
0092, 1, 1, 1
0093, 1, 1, 8
0094, 1, 1, 11
0095, 1, 1, 9
0096, 1, 1, 9
0097, 1, 1, 10
0098, 1, 1, 10
0099, 1, 1, 10
0100, 1, 1, 9
0101, 1, 1, 9
0102, 1, 1, 10
0103, 1, 1, 11
0104, 1, 1, 10
0105, 1, 1, 9
0106, 1, 1, 9
0107, 1, 1, 9
0108, 1, 1, 10
0109, 1, 1, 12
0110, 1, 1, 9
0111, 1, 1, 10
0112, 1, 1, 11
0113, 1, 1, 10
0114, 1, 1, 10
0115, 1, 1, 9
0116, 1, 1, 12
0117, 1, 1, 10
0118, 1, 1, 9
0119, 1, 1, 9
0120, 1, 1, 11
0121, 1, 1, 9
0122, 1, 1, 9
0123, 1, 1, 10
0124, 1, 1, 9
0125, 1, 1, 10
0126, 1, 1, 11
0127, 1, 1, 10
0128, 1, 1, 9
0129, 1, 1, 10
0130, 1, 1, 10
0131, 1, 1, 10
0132, 1, 1, 10
0133, 1, 1, 9
0134, 1, 1, 10
0135, 1, 1, 10
0136, 1, 1, 10
0137, 1, 1, 10
0138, 1, 1, 9
0139, 1, 1, 9
0140, 1, 1, 9
0141, 1, 1, 9
0142, 1, 1, 9
0143, 1, 1, 9
0144, 1, 1, 11
0145, 1, 1, 9
0146, 1, 1, 10
0147, 1, 1, 10
